Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08620,NJ,9.84,55598.0,06/06/2011,,
07830,NJ,8.46,47610.0,08/01/2011,,
07070,NJ,5.04,40320.0,04/12/2011,,
08536,NJ,5.67,45360.0,04/29/2011,,
08735,NJ,4.23,23598.0,08/16/2011,,
08833,NJ,6.9,39675.0,07/13/2011,,
08270,NJ,7.65,43605.0,09/21/2011,,
08807,NJ,9.0,74000.0,09/22/2011,,
08820,NJ,8.325,52864.0,06/10/2011,,
08648,NJ,5.4,34560.0,04/21/2011,,
08723,NJ,4.6,27600.0,03/09/2011,,
08514,NJ,9.625,60000.0,05/24/2011,,
08817,NJ,9.9,55000.0,10/07/2011,,
08873,NJ,5.775,43014.0,08/01/2011,,
07820,NJ,9.68,52000.0,02/24/2011,,
08217,NJ,5.64,33840.0,05/20/2011,,
08873,NJ,5.4,34560.0,11/01/2011,,
07070,NJ,2.59,17690.0,07/14/2011,,
08042,NJ,9.975,59850.0,07/22/2011,,
08536,NJ,7.36,55027.0,10/28/2011,,
08753,NJ,9.24,64000.0,08/31/2011,,
08807,NJ,7.524,62073.0,04/19/2011,,
08873,NJ,6.6,48913.0,10/18/2011,,
08550,NJ,9.8,52350.0,06/21/2011,,
08873,NJ,5.5,55027.0,08/23/2011,,
08886,NJ,9.87,57600.0,08/15/2011,,
08759,NJ,5.33,30114.5,07/06/2011,,
07060,NJ,5.64,30636.0,06/15/2011,,
08362,NJ,9.675,59340.0,08/16/2011,,
08723,NJ,5.28,34000.0,05/31/2011,,
08755,NJ,9.9,62000.0,05/31/2011,,
08536,NJ,7.2,46080.0,04/01/2011,,
08534,NJ,9.6,49350.0,11/21/2011,,
08873,NJ,7.15,52989.0,11/21/2011,,
08759,NJ,8.05,52325.0,08/30/2011,,
08759,NJ,8.74,56810.0,08/03/2011,,
07735,NJ,5.088,34772.0,06/14/2011,,
08807,NJ,7.59,66157.2,11/21/2011,,
08820,NJ,6.75,43200.0,08/23/2011,,
08050,NJ,7.68,36800.0,09/19/2011,,
08536,NJ,3.6,25200.0,05/18/2011,,
08081,NJ,5.88,33370.0,03/14/2011,,
07045,NJ,9.275,64837.5,06/28/2011,,
07403,NJ,9.89,61318.0,06/29/2011,,
08550,NJ,5.928,33858.0,06/23/2011,,
08527,NJ,9.9,62000.0,02/25/2011,,
08757,NJ,4.4,28000.0,06/29/2011,,
08234,NJ,6.58,46782.0,02/25/2011,,
08757,NJ,5.06,34155.0,08/30/2011,,
08724,NJ,5.18,27962.0,06/29/2011,,
08723,NJ,8.61,54673.5,07/15/2011,,
08862,NJ,9.8,53000.0,03/15/2011,,
08080,NJ,9.89,54580.0,09/06/2011,,
08759,NJ,8.05,52325.0,04/08/2011,,
08812,NJ,9.84,61992.0,03/15/2011,,
08260,NJ,8.51,44555.0,05/11/2011,,
08724,NJ,7.05,40572.0,10/19/2011,,
08853,NJ,9.66,65000.0,01/28/2011,,
08550,NJ,9.0,57600.0,04/08/2011,,
08610,NJ,2.88,17424.0,04/14/2011,,
08873,NJ,6.9,61141.0,08/30/2011,,
08820,NJ,6.11,34936.0,10/10/2011,,
08536,NJ,7.2,46080.0,03/23/2011,,
08072,NJ,9.87,50985.0,05/11/2011,,
08731,NJ,6.24,28000.0,12/20/2011,,
08807,NJ,6.075,37968.75,06/14/2011,,
08619,NJ,5.98,53333.0,10/05/2011,,
07836,NJ,6.11,34790.0,08/08/2011,,
08527,NJ,9.87,62790.0,07/05/2011,,
08648,NJ,7.82,46529.0,07/13/2011,,
08550,NJ,8.25,59812.5,06/10/2011,,
08534,NJ,5.64,43942.5,05/23/2011,,
08820,NJ,6.75,43200.0,04/14/2011,,
08008,NJ,30.36,208000.0,08/25/2011,,
07438,NJ,7.488,33750.0,06/29/2011,,
07750,NJ,4.992,21469.0,06/21/2011,,
08620,NJ,7.2,39240.0,04/07/2011,,
08846,NJ,5.4,27810.0,05/18/2011,,
08618,NJ,4.14,25047.0,06/06/2011,,
08817,NJ,7.59,50000.0,08/15/2011,,
08831,NJ,6.44,30750.0,06/29/2011,,
08873,NJ,8.25,67253.0,10/03/2011,,
08857,NJ,9.996,47404.0,07/27/2011,,
08527,NJ,7.05,43125.0,04/04/2011,,
08759,NJ,8.74,54740.0,04/13/2011,,
08234,NJ,6.67,51000.0,09/13/2011,,
08618,NJ,6.44,56667.0,07/08/2011,,
08873,NJ,8.8,64772.14,11/14/2011,,
08260,NJ,4.41,23325.0,01/28/2011,,
08527,NJ,8.46,52920.0,02/17/2011,,
08721,NJ,5.98,38870.0,03/23/2011,,
08527,NJ,4.7,29900.0,06/17/2011,,
08733,NJ,8.97,52000.0,11/15/2011,,
08757,NJ,5.17,29000.0,12/08/2011,,
08757,NJ,8.46,39744.0,08/23/2011,,
08322,NJ,6.44,34650.0,08/22/2011,,
07045,NJ,9.87,48363.0,04/12/2011,,
08857,NJ,3.95,27865.0,12/14/2011,,
08873,NJ,8.25,61139.0,10/13/2011,,
07850,NJ,9.89,57915.0,01/21/2011,,
08527,NJ,5.64,35880.0,05/09/2011,,
08234,NJ,7.128,39200.0,05/26/2011,,
08865,NJ,5.52,38364.0,08/25/2011,,
08753,NJ,9.87,64155.0,10/27/2011,,
08731,NJ,9.165,44850.0,11/28/2011,,
08759,NJ,9.2,51060.0,09/30/2011,,
08873,NJ,6.44,52793.0,06/27/2011,,
08234,NJ,8.4,41662.5,02/14/2011,,
07731,NJ,4.92,31980.0,08/16/2011,,
08322,NJ,2.035,14250.0,03/02/2011,,
08821,NJ,9.9,73366.0,06/28/2011,,
08753,NJ,4.23,27199.8,02/25/2011,,
08534,NJ,6.12,36382.0,07/19/2011,,
08086,NJ,46.592,252215.0,01/06/2011,,
08831,NJ,9.87,9999.0,05/18/2011,,
08873,NJ,7.04,45767.39,07/21/2011,,
08520,NJ,8.82,43099.5,02/17/2011,,
08527,NJ,5.64,35880.0,03/18/2011,,
07002,NJ,7.52,48060.8,02/25/2011,,
08527,NJ,9.87,60850.0,04/26/2011,,
07731,NJ,5.824,27763.0,03/01/2011,,
08330,NJ,5.735,21576.37,07/15/2011,,
08873,NJ,7.975,59094.0,10/19/2011,,
08619,NJ,7.6,45150.0,07/26/2011,,
07746,NJ,9.87,58926.0,04/14/2011,,
08831,NJ,3.76,23920.0,05/09/2011,,
07042,NJ,7.14,41328.0,03/30/2011,,
08724,NJ,7.52,37500.0,09/30/2011,,
08550,NJ,9.9,73366.0,10/11/2011,,
08619,NJ,7.99,59800.0,04/21/2011,,
08215,NJ,3.96,27000.0,10/28/2011,,
08753,NJ,6.3,40000.0,01/31/2011,,
08648,NJ,8.51,47253.4,04/06/2011,,
08873,NJ,10.0,60250.0,10/20/2011,,
07020,NJ,40.56,289000.0,04/27/2011,,
08753,NJ,5.16,35000.0,01/10/2011,,
08753,NJ,7.4,48208.0,07/18/2011,,
08873,NJ,5.06,25200.0,08/16/2011,,
08873,NJ,5.06,37500.0,10/10/2011,,
07621,NJ,49.725,357000.0,05/18/2011,,
08837,NJ,6.05,53333.0,02/15/2011,,
08074,NJ,20.16,128310.0,12/06/2011,,
08690,NJ,9.635,48066.9,01/11/2011,,
08857,NJ,9.66,61824.0,07/26/2011,,
08723,NJ,7.755,49335.0,02/14/2011,,
07746,NJ,9.66,61000.0,08/05/2011,,
08018,NJ,8.51,51060.0,10/07/2011,,
08739,NJ,9.87,49450.0,04/01/2011,,
07936,NJ,9.165,45885.0,07/29/2011,,
07746,NJ,9.87,79700.25,07/27/2011,,
07030,NJ,6.21,41400.0,10/11/2011,,
08234,NJ,9.4,56400.0,11/28/2011,,
08807,NJ,6.05,43363.0,11/28/2011,,
08527,NJ,9.99,49051.0,07/21/2011,,
07009,NJ,4.95,9999.0,08/11/2011,,
08802,NJ,9.87,57615.0,12/02/2011,,
08322,NJ,8.904,61365.0,01/10/2011,,
08085,NJ,7.59,43000.0,03/07/2011,,
08690,NJ,3.7,19425.0,09/29/2011,,
08402,NJ,4.14,24840.0,09/29/2011,,
08067,NJ,5.06,35750.0,11/28/2011,,
08873,NJ,9.675,49500.0,11/22/2011,,
08536,NJ,8.525,63170.0,09/08/2011,,
08062,NJ,7.755,40713.0,01/03/2011,,
08724,NJ,9.165,52026.0,03/14/2011,,
08826,NJ,8.36,41400.0,01/25/2011,,
08536,NJ,9.99,79800.0,02/04/2011,,
08050,NJ,6.88,46000.0,01/31/2011,,
08731,NJ,8.28,76590.0,08/22/2011,,
08863,NJ,6.9,9999.0,02/04/2011,,
07731,NJ,9.87,62790.0,03/15/2011,,
08037,NJ,26.4,198000.0,08/08/2011,,
07103,NJ,38.18,198000.0,04/27/2011,,
08822,NJ,9.72,75000.0,11/30/2011,,
08857,NJ,9.89,59340.0,09/30/2011,,
07750,NJ,2.25,14250.0,09/30/2011,,
08536,NJ,9.66,65043.0,06/14/2011,,
07981,NJ,5.64,61523.0,11/21/2011,,
08826,NJ,7.59,51900.0,09/13/2011,,
07882,NJ,4.83,28980.0,10/27/2011,,
08536,NJ,8.74,77000.0,02/10/2011,,
08110,NJ,6.44,9999.0,07/18/2011,,
08759,NJ,4.05,24300.0,02/14/2011,,
08550,NJ,7.875,38351.25,06/03/2011,,
08536,NJ,8.28,67116.0,10/20/2011,,
08759,NJ,5.52,33672.0,07/08/2011,,
08873,NJ,7.59,47993.0,08/16/2011,,
07852,NJ,4.995,38831.4,11/22/2011,,
07920,NJ,8.46,67116.0,11/22/2011,,
07727,NJ,5.92,31080.0,09/29/2011,,
08755,NJ,9.87,50499.0,02/21/2011,,
08525,NJ,7.755,50481.0,05/23/2011,,
08742,NJ,9.89,60329.0,06/30/2011,,
07748,NJ,8.28,105294.0,04/27/2011,,
08831,NJ,6.11,26910.0,01/21/2011,,
08620,NJ,7.82,41318.0,02/21/2011,,
08402,NJ,4.175,26753.0,11/16/2011,,
08081,NJ,4.76,29903.0,01/07/2011,,
08873,NJ,2.99,36667.0,07/27/2011,,
08873,NJ,8.97,70956.0,06/22/2011,,
07083,NJ,6.05,45333.0,01/07/2011,,
07070,NJ,3.22,24955.0,11/28/2011,,
08753,NJ,5.16,35000.0,01/05/2011,,
08753,NJ,28.35,185000.0,09/15/2011,,
08753,NJ,28.35,185000.0,09/15/2011,,
08752,NJ,3.525,13800.0,08/25/2011,,
07748,NJ,7.82,14985.0,01/31/2011,,
08051,NJ,9.6,61547.0,05/05/2011,,
08080,NJ,9.87,45000.0,08/09/2011,,
08062,NJ,9.6,34192.0,07/13/2011,,
08223,NJ,9.8,48510.0,03/15/2011,,
08873,NJ,6.05,36684.45,07/21/2011,,
08873,NJ,7.59,46666.0,09/30/2011,,
08536,NJ,6.44,55000.0,06/09/2011,,
07760,NJ,5.928,34026.72,06/28/2011,,
08039,NJ,9.87,52240.5,03/01/2011,,
08810,NJ,7.82,41739.0,01/31/2011,,
07882,NJ,3.055,22451.0,02/23/2011,,
08536,NJ,7.88,61600.0,01/14/2011,,
07920,NJ,5.64,79700.25,11/21/2011,,
07070,NJ,6.6,55000.0,07/26/2011,,
08873,NJ,9.9,70956.0,09/13/2011,,
08536,NJ,9.66,70956.0,05/25/2011,,
08833,NJ,7.425,43156.0,07/21/2011,,
08846,NJ,6.38,48383.0,05/23/2011,,
08723,NJ,3.6,23000.0,11/16/2011,,
08723,NJ,6.45,31000.0,02/14/2011,,
07853,NJ,4.085,60823.5,02/17/2011,,
07014,NJ,5.94,33453.0,09/22/2011,,
08001,NJ,9.6,51875.0,11/10/2011,,
08536,NJ,9.165,62250.0,07/21/2011,,
08817,NJ,8.97,70725.0,02/04/2011,,
08062,NJ,3.68,22450.0,01/24/2011,,
08402,NJ,6.075,37969.0,04/29/2011,,
08536,NJ,9.66,79700.25,08/10/2011,,
08759,NJ,9.9,66000.0,01/11/2011,,
08755,NJ,6.21,42593.0,07/19/2011,,
08062,NJ,8.55,36000.0,01/24/2011,,
08833,NJ,9.2,66240.0,11/03/2011,,
08008,NJ,3.24,31250.0,11/14/2011,,
08550,NJ,7.2,36187.5,06/17/2011,,
08620,NJ,7.26,48875.0,10/13/2011,,
08527,NJ,9.89,75000.0,10/13/2011,,
08081,NJ,9.89,56925.0,01/07/2011,,
08723,NJ,5.06,27020.0,02/25/2011,,
07040,NJ,5.75,40900.0,10/06/2011,,
08062,NJ,6.9,37684.0,01/06/2011,,
08080,NJ,9.576,51614.64,08/10/2011,,
08536,NJ,9.89,77440.0,01/11/2011,,
08873,NJ,8.25,70956.0,01/26/2011,,
08873,NJ,3.85,23863.0,10/20/2011,,
08530,NJ,6.44,51135.0,07/08/2011,,
08753,NJ,9.87,60000.0,01/24/2011,,
07746,NJ,4.62,25410.0,06/22/2011,,
08807,NJ,26.88,92800.0,06/01/2011,,
07826,NJ,7.59,9999.0,05/13/2011,,
08318,NJ,9.66,52500.0,05/05/2011,,
08807,NJ,4.725,30051.0,01/04/2011,,
08234,NJ,9.72,49450.5,01/18/2011,,
07830,NJ,7.995,47190.0,04/25/2011,,
08234,NJ,7.4,38350.0,01/20/2011,,
08560,NJ,4.5,27225.0,02/25/2011,,
08098,NJ,8.46,42000.0,09/14/2011,,
08105,NJ,5.72,40925.0,08/16/2011,,
08062,NJ,6.9,37684.0,01/05/2011,,
08820,NJ,5.46,43680.0,03/07/2011,,
08008,NJ,5.52,41860.0,08/30/2011,,
08536,NJ,8.1,40131.0,03/23/2011,,
07738,NJ,3.68,25840.0,08/01/2011,,
08852,NJ,8.28,45000.0,03/02/2011,,
07069,NJ,6.665,23568.0,07/27/2011,,
07065,NJ,49.92,325000.0,11/08/2011,,
07716,NJ,3.76,88830.0,03/09/2011,,
07728,NJ,48.88,319000.0,10/14/2011,,
08050,NJ,5.55,41400.0,07/05/2011,,
08318,NJ,6.3,59200.0,11/03/2011,,
07882,NJ,4.6,30590.0,07/26/2011,,
08318,NJ,9.9,59200.0,11/03/2011,,
07011,NJ,6.24,34000.0,03/09/2011,,
07070,NJ,5.625,44275.0,11/03/2011,,
07921,NJ,5.98,41940.0,08/31/2011,,
08553,NJ,9.99,54500.0,01/06/2011,,
08759,NJ,8.736,33000.0,10/27/2011,,
08731,NJ,5.94,21000.0,05/05/2011,,
08872,NJ,4.576,18000.0,09/07/2011,,
07704,NJ,4.992,18400.0,10/31/2011,,
08527,NJ,7.56,26400.0,05/05/2011,,
08886,NJ,7.92,80000.0,05/20/2011,,
08759,NJ,9.99,39900.0,08/22/2011,,
08724,NJ,7.99,39882.0,02/25/2011,,
08051,NJ,2.0,16138.0,10/18/2011,,
08224,NJ,9.9,41096.0,05/31/2011,,
08081,NJ,5.52,20000.0,10/19/2011,,
08085,NJ,9.87,56580.0,07/08/2011,,
07013,NJ,5.52,44712.0,09/29/2011,,
07731,NJ,7.52,39013.0,10/20/2011,,
08230,NJ,7.92,9999.0,01/13/2011,,
08742,NJ,9.805,75000.0,10/04/2011,,
07726,NJ,9.89,75000.0,08/17/2011,,
08873,NJ,7.425,70956.0,02/04/2011,,
08096,NJ,7.31,50000.0,08/22/2011,,
08536,NJ,5.775,49275.0,01/07/2011,,
08536,NJ,4.95,43363.0,01/31/2011,,
08314,NJ,5.4,19684.7,01/03/2011,,
08062,NJ,8.82,49720.0,05/02/2011,,
08001,NJ,8.97,52250.0,05/03/2011,,
08234,NJ,9.99,53447.0,04/13/2011,,
08234,NJ,7.4,40680.0,05/24/2011,,
07045,NJ,9.89,67596.0,04/25/2011,,
08109,NJ,4.5,31500.0,03/30/2011,,
07981,NJ,7.52,53130.0,08/16/2011,,
08648,NJ,9.87,67620.0,05/31/2011,,
07746,NJ,4.515,23220.0,09/02/2011,,
08019,NJ,9.24,63390.0,10/13/2011,,
08867,NJ,9.9,61380.0,07/22/2011,,
07748,NJ,5.17,34960.0,08/09/2011,,
07731,NJ,8.28,50048.0,04/21/2011,,
08833,NJ,8.64,9999.0,10/26/2011,,
07871,NJ,24.255,110000.0,02/14/2011,,
08204,NJ,7.59,40986.0,07/18/2011,,
08204,NJ,4.84,25410.0,07/21/2011,,
07040,NJ,7.31,43645.0,10/11/2011,,
08534,NJ,6.96,40000.0,10/07/2011,,
07040,NJ,4.3,32107.0,09/07/2011,,
08822,NJ,7.5,35500.0,10/11/2011,,
07013,NJ,7.5,41800.0,10/19/2011,,
08753,NJ,5.85,35860.0,01/25/2011,,
08844,NJ,42.84,214385.0,01/31/2011,,
08853,NJ,7.05,47610.0,01/05/2011,,
08215,NJ,12.9,75000.0,07/28/2011,,
07746,NJ,9.065,70000.0,11/30/2011,,
07748,NJ,9.2,59000.0,05/03/2011,,
07744,NJ,8.8,65000.0,04/20/2011,,
08858,NJ,5.52,46644.0,11/03/2011,,
08320,NJ,30.6,,11/21/2011,,
08822,NJ,10.8,71555.0,01/18/2011,,
07052,NJ,8.58,9999.0,04/12/2011,,
08343,NJ,7.04,48510.0,08/08/2011,,
08241,NJ,7.52,9999.0,01/07/2011,,
07822,NJ,9.89,69000.0,08/10/2011,,
08723,NJ,4.719,36960.0,03/17/2011,,
08820,NJ,7.74,71280.0,01/14/2011,,
08091,NJ,5.16,43014.0,07/08/2011,,
07739,NJ,10.5,72500.0,01/03/2011,,
08536,NJ,8.74,61000.0,05/02/2011,,
08021,NJ,5.16,39990.0,03/01/2011,,
07920,NJ,9.245,90041.0,05/24/2011,,
07013,NJ,7.14,58480.0,03/07/2011,,
08340,NJ,13.275,79650.0,03/31/2011,,
08534,NJ,9.165,50866.0,01/07/2011,,
08080,NJ,2.16,16264.8,07/14/2011,,
08527,NJ,7.285,46345.0,04/25/2011,,
08873,NJ,10.0,65000.0,03/23/2011,,
08003,NJ,9.165,55906.5,01/05/2011,,
08062,NJ,9.87,68992.0,01/28/2011,,
08527,NJ,11.515,69000.0,01/21/2011,,
08062,NJ,9.25,64400.0,01/21/2011,,
08330,NJ,1.225,10000.0,05/17/2011,,
08536,NJ,7.02,38610.0,07/26/2011,,
08807,NJ,5.04,62337.1,06/22/2011,,
07070,NJ,3.78,27485.6,06/07/2011,,
08872,NJ,6.3,50000.0,05/09/2011,,
08867,NJ,15.525,88412.0,02/14/2011,,
08098,NJ,11.76,78850.0,11/21/2011,,
08527,NJ,8.28,50342.0,02/17/2011,,
08820,NJ,8.05,66010.0,02/16/2011,,
08536,NJ,5.4,38640.0,04/15/2011,,
08854,NJ,7.82,54740.0,03/30/2011,,
08550,NJ,6.67,46690.0,06/10/2011,,
07822,NJ,6.16,35220.0,01/25/2011,,
08053,NJ,17.94,102258.0,06/22/2011,,
08005,NJ,35.42,400000.0,06/21/2011,,
08731,NJ,3.87,33282.0,04/06/2011,,
08053,NJ,27.6,157320.0,06/21/2011,,
08853,NJ,10.08,65033.0,01/20/2011,,
07920,NJ,7.52,81675.0,06/22/2011,,
07920,NJ,6.11,81675.0,06/22/2011,,
08857,NJ,9.12,61812.5,02/01/2011,,
08080,NJ,9.99,70000.0,03/14/2011,,
08204,NJ,4.23,9999.0,12/21/2011,,
07960,NJ,24.08,143325.0,05/06/2011,,
08817,NJ,11.25,72000.0,01/24/2011,,
08742,NJ,8.2,74250.0,02/15/2011,,
08722,NJ,6.44,39600.0,01/06/2011,,
08723,NJ,7.56,45360.0,06/06/2011,,
08723,NJ,9.89,63307.5,07/05/2011,,
08742,NJ,23.76,140000.0,05/18/2011,,
08876,NJ,9.805,62832.0,01/03/2011,,
07869,NJ,48.16,287385.0,08/31/2011,,
07013,NJ,4.6,34454.0,05/17/2011,,
08867,NJ,18.4,110400.0,07/08/2011,,
07869,NJ,49.02,282387.0,04/04/2011,,
07930,NJ,25.585,176715.0,05/12/2011,,
07728,NJ,9.45,56700.0,05/20/2011,,
08527,NJ,9.87,64155.0,02/14/2011,,
07624,NJ,10.0,60000.0,05/20/2011,,
07924,NJ,35.84,224249.0,08/31/2011,,
08026,NJ,6.75,49500.0,10/21/2011,,
08026,NJ,6.75,49500.0,10/21/2011,,
08510,NJ,9.89,77500.0,01/31/2011,,
08344,NJ,31.02,176566.0,05/25/2011,,
07882,NJ,44.415,228000.0,03/01/2011,,
08822,NJ,7.31,101848.0,04/26/2011,,
08853,NJ,6.66,48160.0,01/21/2011,,
08401,NJ,2.76,16560.0,04/06/2011,,
08822,NJ,8.28,56718.0,02/25/2011,,
07746,NJ,6.65,37000.0,06/27/2011,,
08270,NJ,9.89,73600.0,01/05/2011,,
07450,NJ,49.68,252000.0,11/16/2011,,
08515,NJ,8.55,57105.0,01/04/2011,,
08012,NJ,4.6,30950.0,01/24/2011,,
07054,NJ,49.5,257521.0,01/21/2011,,
08085,NJ,8.05,30000.0,03/28/2011,,
07840,NJ,31.68,273240.0,09/30/2011,,
08515,NJ,9.8,77546.0,03/28/2011,,
08234,NJ,6.0,31800.0,02/08/2011,,
08837,NJ,7.98,56350.0,06/03/2011,,
08525,NJ,8.1,59375.0,06/14/2011,,
07746,NJ,7.285,56983.0,07/13/2011,,
08205,NJ,9.9,60687.0,01/18/2011,,
08055,NJ,9.87,59000.0,11/16/2011,,
08807,NJ,7.755,43079.0,03/02/2011,,
07960,NJ,2.82,26737.5,02/25/2011,,
07960,NJ,3.525,28112.5,02/25/2011,,
08406,NJ,21.0,131250.0,01/28/2011,,
07421,NJ,5.06,31485.0,02/24/2011,,
07740,NJ,10.14,76570.0,01/14/2011,,
08096,NJ,21.07,168000.0,05/16/2011,,
08060,NJ,32.04,245000.0,02/09/2011,,
08060,NJ,16.56,130000.0,02/09/2011,,
08527,NJ,15.075,57500.0,02/09/2011,,
08550,NJ,10.175,88605.0,04/11/2011,,
08734,NJ,4.725,35000.0,01/11/2011,,
08223,NJ,49.2,319200.0,01/24/2011,,
08520,NJ,12.025,73742.45,01/25/2011,,
07481,NJ,39.77,337500.0,01/21/2011,,
07060,NJ,9.66,75441.6,03/28/2011,,
07302,NJ,37.632,400000.0,06/06/2011,,
08234,NJ,8.6,63227.5,07/05/2011,,
07302,NJ,44.352,400000.0,06/06/2011,,
08330,NJ,51.072,,01/26/2011,,
08330,NJ,51.072,,01/26/2011,,
08055,NJ,30.0,276412.0,03/07/2011,,
08330,NJ,128.57,,03/15/2011,,
07047,NJ,45.12,221990.4,04/28/2011,,
07047,NJ,98.7,485604.0,04/28/2011,,
07065,NJ,155.1,380556.47,04/01/2011,,
07675,NJ,70.08,361620.0,08/24/2011,,
07675,NJ,55.0,195000.0,10/11/2011,,
07605,NJ,42.0,279936.0,10/13/2011,,
07605,NJ,52.0,326592.0,10/14/2011,,
08053,NJ,106.925,956868.25,04/19/2011,,
07076,NJ,113.75,624000.0,06/22/2011,,
08053,NJ,170.845,871310.0,04/19/2011,,
08053,NJ,10.34,86172.0,04/19/2011,,
07738,NJ,30.6,269750.0,02/16/2011,,
07008,NJ,137.54,1418000.0,09/16/2011,,
07106,NJ,15.18,150000.0,11/10/2011,,
07101,NJ,44.06,561430.0,02/01/2011,,
07823,NJ,101.43,600000.0,06/22/2011,,
07105,NJ,20.21,210448.0,07/26/2011,,
07960,NJ,9.936,89460.0,02/01/2011,,
07522,NJ,119.7,1056510.0,06/06/2011,,
07065,NJ,141.0,1460000.0,04/01/2011,,
08330,NJ,271.488,1262414.7,02/15/2011,,
08830,NJ,114.24,385000.0,04/26/2011,,
08830,NJ,113.4,385000.0,04/26/2011,,
08840,NJ,101.99,385000.0,04/26/2011,,
08830,NJ,325.71,385000.0,04/26/2011,,
08401,NJ,59.8,418600.0,10/27/2011,,
07071,NJ,119.7,943800.0,08/10/2011,,
08062,NJ,24.5,180000.0,02/17/2011,,
08087,NJ,7.4,,10/17/2012,,
08721,NJ,6.48,,10/09/2012,,
08080,NJ,6.0,,09/19/2012,,
08757,NJ,4.935,,10/09/2012,,
08836,NJ,11.96,,09/06/2012,,
08857,NJ,12.24,,12/12/2012,,
07727,NJ,9.12,,08/23/2012,,
08759,NJ,6.5,,07/27/2012,,
08753,NJ,6.75,,08/15/2012,,
08610,NJ,4.578,,09/13/2012,,
08003,NJ,5.18,,08/09/2012,,
08527,NJ,6.3,,09/17/2012,,
08527,NJ,6.3,,08/13/2012,,
08757,NJ,10.34,,12/12/2012,,
08723,NJ,7.56,,10/19/2012,,
08836,NJ,4.465,,07/25/2012,,
07730,NJ,8.085,,07/12/2012,,
08759,NJ,10.08,,09/26/2012,,
07731,NJ,3.0,,10/22/2012,,
07930,NJ,10.464,,11/28/2012,,
08721,NJ,5.5,,10/02/2012,,
07060,NJ,12.22,,06/25/2012,,
08873,NJ,7.0,,10/22/2012,,
07849,NJ,6.86,,10/10/2012,,
07731,NJ,6.25,,08/01/2012,,
08820,NJ,9.156,,11/09/2012,,
08721,NJ,4.6,,06/26/2012,,
08691,NJ,9.165,,08/16/2012,,
08731,NJ,7.92,,06/26/2012,,
08724,NJ,7.52,,06/26/2012,,
07748,NJ,9.6,,06/28/2012,,
07830,NJ,19.62,,09/24/2012,,
07461,NJ,4.1,,09/14/2012,,
07070,NJ,7.8,,10/17/2012,,
08722,NJ,5.5,,10/02/2012,,
08724,NJ,4.0,,08/07/2012,,
08527,NJ,7.41,,07/03/2012,,
08759,NJ,7.15,,08/15/2012,,
08050,NJ,6.72,,08/01/2012,,
07731,NJ,6.24,,10/17/2012,,
07070,NJ,3.36,,09/26/2012,,
08833,NJ,11.4,,10/22/2012,,
08757,NJ,6.0,,10/09/2012,,
08527,NJ,11.52,,07/02/2012,,
08833,NJ,7.848,,09/18/2012,,
08755,NJ,8.55,,12/14/2012,,
08720,NJ,5.355,,09/18/2012,,
08731,NJ,6.37,,10/23/2012,,
08721,NJ,5.76,,11/06/2012,,
08087,NJ,4.8,,12/10/2012,,
07730,NJ,5.635,,10/10/2012,,
08086,NJ,8.0,,08/06/2012,,
07731,NJ,6.615,,06/25/2012,,
08234,NJ,7.35,,11/20/2012,,
08873,NJ,10.464,,09/26/2012,,
08724,NJ,6.375,,10/10/2012,,
08724,NJ,6.615,,11/19/2012,,
07731,NJ,8.64,,10/10/2012,,
08270,NJ,5.76,,10/10/2012,,
07726,NJ,3.29,,06/25/2012,,
08757,NJ,9.84,,10/23/2012,,
07853,NJ,5.232,,11/02/2012,,
08742,NJ,4.8,,10/23/2012,,
08731,NJ,10.8,,11/15/2012,,
07438,NJ,7.848,,12/11/2012,,
08087,NJ,3.84,,09/12/2012,,
07731,NJ,9.18,,08/13/2012,,
08867,NJ,14.5,,08/16/2012,,
08330,NJ,7.5,,10/25/2012,,
08721,NJ,7.955,,12/03/2012,,
08527,NJ,8.5,,07/12/2012,,
07731,NJ,6.845,,08/16/2012,,
08648,NJ,6.93,,09/14/2012,,
08755,NJ,8.46,,10/26/2012,,
08723,NJ,8.46,,12/06/2012,,
08223,NJ,5.886,,08/23/2012,,
07440,NJ,12.22,,11/20/2012,,
08721,NJ,11.27,,07/31/2012,,
08807,NJ,14.715,,09/26/2012,,
08721,NJ,1.575,,07/03/2012,,
08361,NJ,16.83,,06/25/2012,,
08050,NJ,4.8,,11/29/2012,,
08050,NJ,8.4,,10/02/2012,,
08050,NJ,3.84,,12/11/2012,,
08620,NJ,6.29,,08/07/2012,,
08753,NJ,9.12,,09/07/2012,,
07921,NJ,6.867,,09/10/2012,,
07731,NJ,8.5,,09/12/2012,,
08620,NJ,5.5,,07/12/2012,,
08724,NJ,6.345,,11/06/2012,,
08757,NJ,7.44,,09/26/2012,,
08742,NJ,4.23,,07/18/2012,,
08755,NJ,6.58,,06/19/2012,,
07731,NJ,4.8,,06/20/2012,,
08720,NJ,5.17,,11/19/2012,,
08527,NJ,5.0,,07/03/2012,,
08757,NJ,5.5,,09/10/2012,,
07095,NJ,9.6,,09/10/2012,,
08759,NJ,8.82,,09/14/2012,,
07731,NJ,7.05,,08/16/2012,,
08721,NJ,7.2,,07/18/2012,,
07731,NJ,6.58,,06/19/2012,,
08724,NJ,10.045,,10/17/2012,,
