Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CT
06716,CT,5.75,28175.0,08/28/2014,,
06511,CT,5.2,20900.0,08/25/2014,,
06118,CT,8.5,38300.0,08/22/2014,,
06457,CT,4.94,23267.4,08/20/2014,,
06023,CT,8.58,42017.5,08/20/2014,,
06457,CT,5.64,27611.5,08/20/2014,,
06029,CT,6.6,24090.0,08/19/2014,,
06093,CT,6.48,22680.0,08/19/2014,,
06779,CT,6.0,24490.0,08/19/2014,,
06237,CT,5.0,17250.0,08/19/2014,,
06082,CT,7.02,27167.4,08/19/2014,,
06470,CT,11.0,35200.0,08/19/2014,,
06076,CT,3.25,11044.0,08/19/2014,,
06410,CT,7.25,24737.5,08/19/2014,,
06410,CT,10.14,37025.0,08/19/2014,,
06705,CT,10.14,37011.0,08/19/2014,,
06783,CT,6.36,22387.0,08/19/2014,,
06782,CT,9.5,30350.0,08/19/2014,,
06040,CT,4.06,15259.2,08/19/2014,,
06033,CT,10.4,36920.0,08/19/2014,,
06482,CT,9.75,31200.0,08/19/2014,,
06040,CT,6.63,25587.5,08/19/2014,,
06040,CT,4.0,14870.0,08/19/2014,,
06033,CT,6.25,20937.5,08/19/2014,,
06082,CT,4.68,17128.8,08/19/2014,,
06470,CT,7.8,26520.0,08/19/2014,,
06033,CT,5.5,17425.0,08/19/2014,,
06057,CT,6.0,22740.0,08/19/2014,,
06410,CT,8.25,28287.5,08/19/2014,,
06415,CT,5.0,30000.0,08/19/2014,,
06470,CT,10.25,32800.0,08/19/2014,,
06073,CT,4.0,13400.0,08/19/2014,,
06415,CT,10.0,45457.0,08/19/2014,,
06033,CT,7.5,24625.0,08/19/2014,,
06082,CT,5.2,23600.0,08/19/2014,,
06415,CT,5.0,30040.0,08/19/2014,,
06040,CT,5.0,19650.0,08/19/2014,,
06798,CT,7.16,25919.0,08/19/2014,,
06107,CT,4.06,15590.0,08/19/2014,,
06239,CT,10.75,41388.0,08/19/2014,,
06234,CT,8.75,38478.0,08/19/2014,,
06040,CT,7.75,27417.5,08/19/2014,,
06063,CT,5.2,24100.0,08/19/2014,,
06250,CT,6.0,21480.0,08/19/2014,,
06040,CT,13.0,48410.0,08/19/2014,,
06063,CT,5.22,23790.0,08/19/2014,,
06040,CT,12.75,57705.91,08/19/2014,,
06830,CT,11.28,73771.0,08/19/2014,,
06247,CT,4.91,21026.0,08/19/2014,,
06078,CT,8.18,40466.25,08/19/2014,,
06226,CT,5.2,20228.0,08/19/2014,,
06268,CT,7.2,33696.0,08/19/2014,,
06019,CT,6.87,35021.7,08/19/2014,,
06092,CT,12.43,39828.0,08/19/2014,,
06424,CT,11.22,54500.0,08/19/2014,,
06268,CT,6.72,23587.2,08/19/2014,,
06488,CT,8.32,52088.0,08/19/2014,,
06258,CT,8.58,30561.0,08/19/2014,,
06082,CT,5.0,20900.0,08/18/2014,,
06708,CT,5.0,20900.0,08/14/2014,,
06469,CT,10.75,48375.0,08/12/2014,,
06033,CT,8.0,23445.0,08/12/2014,,
06033,CT,10.92,35582.0,08/12/2014,,
06370,CT,9.75,39363.0,08/12/2014,,
06484,CT,6.5,26000.0,08/12/2014,,
06238,CT,7.0,27090.0,08/12/2014,,
06339,CT,8.0,33440.0,08/06/2014,,
06380,CT,150.0,335000.0,08/05/2014,,
06111,CT,5.75,24035.0,08/05/2014,,
06060,CT,7.0,29260.0,08/05/2014,,
06378,CT,8.25,34485.0,08/05/2014,,
06471,CT,5.61,24000.0,08/01/2014,,
06447,CT,9.08,34031.0,08/01/2014,,
06111,CT,6.6,25920.0,08/01/2014,,
06524,CT,7.0,25200.0,08/01/2014,,
06611,CT,6.24,23712.0,08/01/2014,,
06470,CT,8.75,28000.0,08/01/2014,,
06460,CT,9.75,39843.5,08/01/2014,,
06117,CT,4.5,16110.0,08/01/2014,,
06783,CT,13.5,40225.0,08/01/2014,,
06105,CT,6.25,25948.75,08/01/2014,,
06611,CT,6.0,20700.0,08/01/2014,,
06082,CT,5.75,21332.5,08/01/2014,,
06415,CT,5.0,30000.0,08/01/2014,,
06084,CT,9.72,32076.0,08/01/2014,,
06082,CT,5.72,22022.0,08/01/2014,,
06611,CT,8.0,31540.0,08/01/2014,,
06611,CT,7.5,28625.0,08/01/2014,,
06470,CT,11.5,38100.0,08/01/2014,,
06235,CT,6.54,29168.4,08/01/2014,,
06107,CT,8.32,30284.0,08/01/2014,,
06066,CT,9.0,33750.0,08/01/2014,,
06105,CT,1.62,5961.6,08/01/2014,,
06250,CT,9.1,35399.0,08/01/2014,,
06268,CT,4.0,13560.0,08/01/2014,,
06250,CT,5.76,24883.2,08/01/2014,,
06268,CT,4.32,16113.0,08/01/2014,,
06226,CT,6.24,23961.0,08/01/2014,,
06331,CT,6.72,41932.8,08/01/2014,,
06423,CT,157.0,485000.0,07/25/2014,,
06359,CT,7.68,38208.0,07/25/2014,,
06238,CT,9.08,34485.0,07/22/2014,,
06029,CT,11.61,42120.0,07/22/2014,,
06029,CT,11.88,67560.0,07/22/2014,,
06488,CT,4.17,14000.0,07/22/2014,,
06066,CT,1.56,10904.4,07/22/2014,,
06249,CT,7.0,32550.0,07/22/2014,,
06239,CT,5.7,24396.0,07/22/2014,,
06039,CT,8.0,41600.0,07/22/2014,,
06033,CT,7.0,23450.0,07/22/2014,,
06033,CT,7.75,25962.5,07/22/2014,,
06249,CT,6.75,25987.5,07/22/2014,,
06756,CT,15.12,56025.0,07/22/2014,,
06517,CT,4.16,17056.0,07/22/2014,,
06424,CT,10.0,39700.0,07/22/2014,,
06514,CT,6.75,23490.0,07/22/2014,,
06783,CT,9.54,33580.0,07/22/2014,,
06033,CT,8.5,27475.0,07/22/2014,,
06410,CT,10.92,39950.0,07/22/2014,,
06033,CT,13.52,50700.0,07/22/2014,,
06612,CT,6.76,25688.0,07/22/2014,,
06119,CT,5.72,21030.8,07/22/2014,,
06518,CT,2.25,8865.0,07/22/2014,,
06783,CT,9.01,31715.0,07/22/2014,,
06612,CT,7.75,29563.0,07/22/2014,,
06518,CT,9.9,40986.0,07/22/2014,,
06420,CT,6.76,23998.0,07/22/2014,,
06374,CT,5.56,18334.0,07/22/2014,,
06033,CT,6.75,21612.5,07/22/2014,,
06488,CT,6.36,22395.0,07/22/2014,,
06117,CT,10.0,38577.0,07/22/2014,,
06413,CT,5.25,20737.0,07/22/2014,,
06040,CT,5.9,21326.0,07/22/2014,,
06379,CT,12.0,42960.0,07/22/2014,,
06032,CT,8.58,32260.8,07/22/2014,,
06040,CT,1.75,8272.5,07/22/2014,,
06470,CT,7.5,23000.0,07/22/2014,,
06443,CT,5.89,25015.0,07/22/2014,,
06804,CT,5.23,26160.0,07/22/2014,,
06107,CT,4.75,22980.45,07/22/2014,,
06824,CT,0.49,6036.0,07/22/2014,,
06268,CT,8.64,32659.2,07/22/2014,,
06019,CT,6.24,22390.0,07/22/2014,,
06234,CT,6.5,27170.0,07/21/2014,,
06385,CT,7.0,32970.0,07/21/2014,,
06359,CT,3.5,14630.0,07/18/2014,,
06416,CT,8.42,33660.0,07/16/2014,,
06412,CT,9.75,34125.0,07/16/2014,,
06825,CT,10.97,46053.0,07/16/2014,,
06824,CT,7.0,24850.0,07/16/2014,,
06457,CT,6.5,26250.0,07/15/2014,,
06249,CT,5.0,19250.0,07/15/2014,,
06410,CT,8.0,28400.0,07/15/2014,,
06473,CT,8.5,35000.0,07/15/2014,,
06379,CT,9.25,33000.0,07/15/2014,,
06484,CT,8.5,34500.0,07/15/2014,,
06057,CT,6.0,24000.0,07/15/2014,,
06067,CT,8.0,27961.7,07/15/2014,,
06615,CT,30.0,122471.0,07/14/2014,,
06489,CT,99.0,306641.0,07/14/2014,,
06416,CT,6.75,28277.5,07/14/2014,,
06385,CT,4.41,27791.7,07/14/2014,,
06877,CT,9.62,45310.2,07/11/2014,,
06811,CT,9.8,48020.0,07/11/2014,,
06811,CT,8.0,37680.0,07/10/2014,,
06804,CT,7.35,36015.0,07/10/2014,,
06705,CT,6.5,29424.0,07/10/2014,,
06825,CT,6.24,21300.0,07/10/2014,,
06250,CT,10.8,39420.0,07/09/2014,,
06482,CT,10.75,34400.0,07/09/2014,,
06117,CT,8.58,33891.0,07/09/2014,,
06470,CT,4.75,17575.0,07/09/2014,,
06013,CT,9.72,38000.0,07/09/2014,,
06117,CT,7.0,26530.0,07/09/2014,,
06824,CT,7.5,27250.0,07/09/2014,,
06110,CT,6.75,26595.0,07/09/2014,,
06107,CT,2.0,7360.0,07/09/2014,,
06078,CT,7.28,25750.0,07/09/2014,,
06258,CT,5.89,25957.26,07/09/2014,,
06708,CT,11.6,39208.0,07/09/2014,,
06804,CT,4.68,21294.0,07/09/2014,,
06801,CT,7.8,29640.0,07/09/2014,,
06070,CT,7.19,32229.0,07/09/2014,,
06478,CT,11.89,52197.1,07/09/2014,,
06479,CT,7.8,27976.0,07/09/2014,,
06019,CT,7.8,25900.0,07/09/2014,,
06450,CT,6.76,43730.0,07/09/2014,,
06019,CT,6.24,21964.8,07/09/2014,,
06233,CT,7.25,37259.0,07/09/2014,,
06477,CT,10.66,56485.0,07/03/2014,,
06410,CT,8.0,30800.0,06/24/2014,,
06611,CT,4.5,18225.0,06/24/2014,,
06107,CT,5.2,19968.0,06/24/2014,,
06119,CT,3.75,14587.5,06/24/2014,,
06611,CT,6.0,23000.0,06/24/2014,,
06903,CT,6.63,24831.0,06/24/2014,,
06073,CT,3.5,13175.0,06/24/2014,,
06615,CT,5.75,19837.5,06/24/2014,,
06776,CT,9.36,32000.0,06/24/2014,,
06107,CT,5.25,18270.0,06/24/2014,,
06878,CT,8.16,31476.8,06/24/2014,,
06472,CT,5.5,24200.0,06/24/2014,,
06482,CT,12.75,42350.0,06/24/2014,,
06611,CT,8.32,30784.0,06/24/2014,,
06040,CT,6.5,21655.0,06/24/2014,,
06484,CT,8.82,41542.2,06/24/2014,,
06069,CT,10.73,49875.0,06/24/2014,,
06033,CT,8.09,38086.35,06/24/2014,,
06259,CT,4.25,18746.91,06/24/2014,,
06830,CT,4.08,15238.4,06/24/2014,,
06353,CT,9.8,46158.0,06/24/2014,,
06468,CT,7.8,30186.0,06/24/2014,,
06515,CT,3.68,18008.0,06/24/2014,,
06812,CT,8.82,41542.2,06/24/2014,,
06226,CT,5.46,21512.4,06/24/2014,,
06076,CT,8.58,40388.25,06/24/2014,,
06019,CT,6.24,21964.8,06/24/2014,,
06812,CT,4.16,20384.0,06/24/2014,,
06518,CT,2.88,11500.0,06/24/2014,,
06073,CT,5.64,29060.0,06/24/2014,,
06019,CT,4.68,17409.6,06/24/2014,,
06612,CT,5.89,29571.14,06/24/2014,,
06405,CT,9.0,37750.0,06/24/2014,,
06614,CT,10.0,49000.0,06/23/2014,,
06801,CT,5.64,27611.5,06/20/2014,,
06451,CT,9.25,32943.73,06/20/2014,,
06353,CT,10.0,48020.0,06/20/2014,,
06811,CT,9.8,48020.0,06/19/2014,,
06811,CT,5.39,26411.0,06/19/2014,,
06779,CT,10.05,49220.5,06/19/2014,,
06424,CT,4.75,22372.5,06/19/2014,,
06812,CT,7.6,37215.5,06/19/2014,,
06811,CT,5.15,25210.5,06/19/2014,,
06751,CT,5.88,29694.0,06/18/2014,,
06081,CT,8.0,33600.0,06/17/2014,,
06401,CT,9.0,33750.0,06/11/2014,,
06237,CT,7.25,27912.5,06/10/2014,,
06076,CT,11.88,46094.0,06/10/2014,,
06071,CT,11.34,42525.0,06/10/2014,,
06254,CT,8.25,30112.0,06/10/2014,,
06457,CT,6.0,25230.0,06/10/2014,,
06611,CT,6.5,23400.0,06/10/2014,,
06013,CT,9.72,37830.0,06/10/2014,,
06403,CT,7.75,27125.0,06/10/2014,,
06853,CT,5.15,24232.95,06/10/2014,,
06029,CT,7.28,30867.2,06/10/2014,,
06515,CT,3.9,20124.0,06/10/2014,,
06413,CT,10.46,44472.0,06/10/2014,,
06437,CT,7.0,25900.0,06/10/2014,,
06471,CT,5.5,22005.0,06/10/2014,,
06078,CT,7.25,27370.0,06/10/2014,,
06026,CT,11.34,50059.0,06/10/2014,,
06413,CT,7.85,34138.8,06/10/2014,,
06443,CT,10.0,35512.0,06/10/2014,,
06039,CT,6.0,27000.0,06/10/2014,,
06705,CT,5.52,29808.0,06/10/2014,,
06413,CT,6.0,21600.0,06/10/2014,,
06413,CT,2.5,10000.0,06/10/2014,,
06413,CT,4.75,17575.0,06/10/2014,,
06479,CT,4.5,18000.0,06/10/2014,,
06437,CT,13.73,62489.7,06/10/2014,,
06250,CT,6.25,22687.5,06/10/2014,,
06354,CT,8.83,27721.0,06/10/2014,,
06611,CT,11.0,41800.0,06/10/2014,,
06405,CT,5.25,22050.0,06/10/2014,,
06413,CT,9.81,43164.0,06/10/2014,,
06278,CT,7.5,27225.0,06/10/2014,,
06010,CT,9.81,40437.0,06/10/2014,,
06412,CT,3.75,15375.0,06/10/2014,,
06795,CT,5.57,23999.0,06/10/2014,,
06040,CT,6.25,21437.5,06/10/2014,,
06107,CT,5.0,17400.0,06/10/2014,,
06234,CT,8.5,33396.0,06/10/2014,,
06901,CT,8.58,42175.0,06/10/2014,,
06040,CT,11.0,42870.0,06/10/2014,,
06801,CT,6.0,23700.0,06/10/2014,,
06438,CT,5.75,23805.0,06/10/2014,,
06281,CT,3.27,13684.0,06/10/2014,,
06756,CT,6.89,26940.0,06/10/2014,,
06412,CT,7.0,26250.0,06/10/2014,,
06791,CT,10.14,36216.0,06/10/2014,,
06250,CT,7.28,25334.4,06/10/2014,,
06268,CT,10.46,63840.22,06/10/2014,,
06069,CT,8.25,31500.0,06/10/2014,,
06460,CT,7.75,33617.5,06/10/2014,,
06268,CT,3.84,14131.0,06/10/2014,,
06443,CT,9.75,50799.5,06/10/2014,,
06250,CT,4.32,16070.0,06/10/2014,,
06226,CT,1.38,7341.0,06/10/2014,,
06268,CT,5.76,21484.6,06/10/2014,,
06019,CT,7.06,36000.0,06/10/2014,,
06250,CT,9.88,37741.6,06/10/2014,,
06268,CT,6.24,24273.0,06/10/2014,,
06443,CT,5.5,19812.0,06/10/2014,,
06371,CT,12.42,56984.4,06/10/2014,,
06250,CT,7.54,27121.38,06/10/2014,,
06516,CT,3.92,19796.0,06/10/2014,,
06238,CT,9.81,44145.0,06/10/2014,,
06790,CT,5.88,25754.0,06/10/2014,,
06877,CT,5.46,24314.0,06/10/2014,,
06516,CT,5.76,25920.0,06/10/2014,,
06611,CT,10.0,37205.0,06/09/2014,,
06757,CT,8.75,35212.0,06/09/2014,,
06850,CT,9.16,41202.0,06/09/2014,,
06382,CT,4.9,24010.0,06/05/2014,,
06019,CT,45.0,153300.0,06/04/2014,,
06483,CT,8.82,43218.0,06/04/2014,,
06480,CT,6.0,23084.0,06/04/2014,,
06071,CT,5.76,29694.0,05/30/2014,,
06107,CT,9.5,38000.66,05/30/2014,,
06010,CT,6.25,29437.5,05/29/2014,,
06489,CT,8.33,39234.3,05/29/2014,,
06791,CT,7.6,37215.5,05/29/2014,,
06704,CT,4.0,19600.0,05/29/2014,,
06470,CT,4.41,21609.0,05/29/2014,,
06416,CT,1.96,9898.0,05/29/2014,,
06475,CT,4.16,18720.0,05/28/2014,,
06790,CT,5.46,24624.61,05/28/2014,,
06082,CT,6.1,24075.25,05/28/2014,,
06796,CT,3.5,16625.0,05/28/2014,,
06484,CT,8.84,34050.0,05/28/2014,,
06069,CT,12.72,66776.0,05/28/2014,,
06042,CT,5.94,31428.0,05/28/2014,,
06484,CT,6.12,27271.0,05/28/2014,,
06488,CT,6.3,29049.0,05/28/2014,,
06107,CT,4.16,15558.0,05/28/2014,,
06850,CT,2.75,14490.0,05/28/2014,,
06484,CT,3.92,16481.0,05/28/2014,,
06013,CT,9.81,30212.0,05/28/2014,,
06379,CT,10.07,37650.0,05/28/2014,,
06473,CT,5.72,20982.0,05/28/2014,,
06268,CT,12.48,43929.6,05/28/2014,,
06419,CT,12.06,77979.11,05/28/2014,,
06880,CT,6.0,22000.0,05/28/2014,,
06081,CT,7.35,32600.0,05/27/2014,,
06825,CT,10.75,37275.0,05/27/2014,,
06824,CT,9.62,32838.0,05/27/2014,,
06825,CT,6.75,23963.0,05/27/2014,,
06825,CT,7.2,25310.0,05/27/2014,,
06824,CT,8.64,30422.0,05/27/2014,,
06074,CT,4.66,22809.5,05/19/2014,,
06804,CT,7.35,37117.5,05/19/2014,,
06403,CT,6.86,32310.6,05/16/2014,,
06095,CT,9.07,44418.5,05/15/2014,,
06108,CT,6.86,33614.0,05/15/2014,,
06250,CT,7.2,26296.0,05/15/2014,,
06239,CT,8.25,34533.75,05/14/2014,,
06611,CT,10.0,37000.0,05/14/2014,,
06451,CT,5.67,23607.0,05/14/2014,,
06437,CT,5.5,22000.0,05/14/2014,,
06896,CT,12.0,46660.0,05/14/2014,,
06382,CT,8.06,28210.0,05/14/2014,,
06105,CT,6.0,24780.0,05/14/2014,,
06013,CT,5.4,24500.0,05/14/2014,,
06013,CT,7.0,28000.0,05/14/2014,,
06518,CT,7.5,31500.0,05/14/2014,,
06403,CT,7.5,28875.0,05/14/2014,,
06379,CT,9.0,36377.0,05/14/2014,,
06424,CT,13.0,54722.0,05/14/2014,,
06231,CT,5.5,27225.0,05/14/2014,,
06237,CT,7.76,32183.25,05/14/2014,,
06238,CT,9.88,34086.0,05/14/2014,,
06019,CT,5.72,21278.4,05/14/2014,,
06234,CT,8.0,29109.0,05/14/2014,,
06281,CT,11.73,84591.64,05/14/2014,,
06019,CT,5.46,19219.2,05/14/2014,,
06877,CT,15.6,68954.0,05/14/2014,,
06032,CT,7.02,27237.6,05/14/2014,,
06019,CT,6.54,28449.0,05/14/2014,,
06019,CT,7.8,31004.0,05/14/2014,,
06019,CT,9.88,34777.6,05/14/2014,,
06776,CT,9.36,35350.0,05/14/2014,,
06484,CT,5.46,22932.0,05/14/2014,,
06019,CT,11.7,42939.0,05/14/2014,,
06902,CT,5.7,28113.37,05/14/2014,,
06001,CT,11.4,47810.0,05/14/2014,,
06422,CT,9.0,31500.0,05/14/2014,,
06422,CT,5.5,19250.0,05/14/2014,,
06824,CT,7.0,24600.0,05/14/2014,,
06422,CT,6.0,21000.0,05/14/2014,,
06423,CT,17.0,71141.49,05/14/2014,,
06516,CT,4.28,31850.0,05/14/2014,,
06801,CT,4.41,21609.0,05/13/2014,,
06026,CT,8.33,40817.0,05/13/2014,,
06019,CT,8.84,34058.0,05/13/2014,,
06238,CT,10.5,36435.0,05/13/2014,,
06032,CT,7.84,38416.0,05/13/2014,,
06716,CT,5.88,28812.0,05/13/2014,,
06070,CT,5.39,27219.5,05/13/2014,,
06824,CT,5.75,20413.0,05/13/2014,,
06825,CT,7.0,24850.0,05/13/2014,,
06514,CT,5.52,27462.0,05/13/2014,,
06238,CT,8.82,43218.0,05/12/2014,,
06483,CT,8.09,38080.35,05/12/2014,,
06238,CT,6.75,23422.0,05/12/2014,,
06877,CT,6.62,32413.5,05/09/2014,,
06241,CT,5.88,28812.0,05/09/2014,,
06825,CT,7.92,29200.0,05/08/2014,,
06804,CT,9.07,42696.15,05/08/2014,,
06880,CT,10.78,52822.0,05/06/2014,,
06851,CT,7.84,38416.0,05/06/2014,,
06611,CT,252.0,1001298.0,05/02/2014,,
06851,CT,100.0,614536.0,05/02/2014,,
06114,CT,100.0,325000.0,05/02/2014,,
06457,CT,260.0,2513915.0,05/02/2014,,
06001,CT,3.46,29650.0,04/30/2014,,
06410,CT,6.0,20300.0,04/29/2014,,
06776,CT,10.34,41340.0,04/29/2014,,
06770,CT,9.18,32089.0,04/29/2014,,
06040,CT,8.18,37687.0,04/29/2014,,
06896,CT,5.5,19525.0,04/29/2014,,
06068,CT,3.75,16500.0,04/29/2014,,
06611,CT,9.25,35688.0,04/29/2014,,
06040,CT,4.0,13630.0,04/29/2014,,
06611,CT,6.25,23437.5,04/29/2014,,
06750,CT,3.5,15050.0,04/29/2014,,
06040,CT,7.54,31568.8,04/29/2014,,
06040,CT,3.25,13660.0,04/29/2014,,
06040,CT,5.8,21326.0,04/29/2014,,
06117,CT,5.2,18928.0,04/29/2014,,
06010,CT,8.32,29854.0,04/29/2014,,
06605,CT,5.25,18162.5,04/29/2014,,
06074,CT,6.0,27000.0,04/29/2014,,
06266,CT,4.8,20736.0,04/29/2014,,
06420,CT,10.0,39400.0,04/29/2014,,
06351,CT,10.0,31706.0,04/29/2014,,
06078,CT,7.8,29995.0,04/29/2014,,
06238,CT,3.5,14595.0,04/29/2014,,
06468,CT,5.25,21492.0,04/29/2014,,
06040,CT,6.0,23514.0,04/29/2014,,
06511,CT,1.68,10920.0,04/29/2014,,
06443,CT,7.85,49667.4,04/29/2014,,
06019,CT,2.29,9957.15,04/29/2014,,
06260,CT,5.1,22435.0,04/29/2014,,
06481,CT,11.45,60768.0,04/29/2014,,
06480,CT,5.88,21226.0,04/29/2014,,
06088,CT,4.9,24010.0,04/28/2014,,
06029,CT,4.0,19208.0,04/28/2014,,
06013,CT,5.39,27219.5,04/28/2014,,
06040,CT,8.4,42420.0,04/28/2014,,
06351,CT,5.39,27219.5,04/28/2014,,
06824,CT,10.75,42188.0,04/28/2014,,
06410,CT,7.26,36118.5,04/28/2014,,
06614,CT,4.68,23283.0,04/28/2014,,
06824,CT,6.24,21902.0,04/28/2014,,
06040,CT,3.6,17910.0,04/28/2014,,
06470,CT,9.6,47760.0,04/28/2014,,
06016,CT,10.29,50421.0,04/25/2014,,
06824,CT,8.5,23963.0,04/25/2014,,
